Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-03-16,9955,1242,3054,14483,2667,4261,4894,578,1819,14251,21411,7291
2020-03-17,7624,1231,3690,15636,835,4908,5620,651,2231,12545,21379,8502
2020-03-18,17606,1496,6528,9724,1580,4446,6141,609,2209,25630,15750,8959
2020-03-19,6899,868,1958,3209,418,1319,8600,455,2073,9725,4946,11128
2020-03-20,9762,984,2902,20351,1037,7166,9030,793,3446,13648,28554,13269
2020-03-21,10891,800,3078,19534,917,7062,2194,260,963,14769,27513,3417
2020-03-22,4180,507,1022,2949,511,1045,7947,1453,2758,5709,4505,12158
2020-03-23,33310,1632,9282,10602,775,3755,19882,1666,6461,44224,15132,28009
2020-03-24,6293,1580,2545,5699,405,3022,4441,568,2587,10418,9126,7596
2020-03-25,22424,2114,5238,3076,371,1009,3005,407,1309,29776,4456,4721
2020-03-26,12202,1573,3787,3408,407,1251,6658,3973,3210,17562,5066,13841
2020-03-27,131171,9767,57765,48919,1723,15406,12008,1220,3747,198703,66048,16975
2020-03-28,28796,1803,9332,4868,1268,1312,2693,616,1023,39931,7448,4332
2020-03-29,23836,2228,8889,2404,367,701,4689,1609,1722,34953,3472,8020
2020-03-30,13502,1793,4270,6247,801,2911,3239,691,1592,19565,9959,5522
2020-03-31,8671,1673,3664,5919,433,3629,3733,817,1805,14008,9981,6355
2020-04-01,19017,1021,6792,6020,681,1925,3307,536,1699,26830,8626,5542
2020-04-02,12162,1386,3655,7484,1256,2540,4017,519,1726,17203,11280,6262
2020-04-03,13163,1340,4656,3813,658,1501,5309,590,2198,19159,5972,8097
2020-04-04,31945,3507,10857,6673,1171,1957,4775,762,1231,46309,9801,6768
2020-04-05,46216,4793,20407,7101,1036,2463,16599,1917,8281,71416,10600,26797
2020-04-06,42136,3388,8474,23704,2276,6041,167994,12225,57919,53998,32021,238138
2020-04-07,26443,2870,6856,37204,1503,6079,31675,3007,8717,36169,44786,43399
2020-04-08,17026,1393,4915,18476,2023,6512,11598,1601,2854,23334,27011,16053
2020-04-09,36673,2213,9212,13232,752,2770,33044,1497,5631,48098,16754,40172
2020-04-10,7578,1086,2353,16321,1392,7562,9697,692,2433,11017,25275,12822
2020-04-11,15431,1317,5747,6331,959,1997,6498,537,3123,22495,9287,10158
2020-04-12,17725,2391,4718,16077,1333,5578,29799,1615,7135,24834,22988,38549
2020-04-13,40432,2366,8635,14212,1346,4211,10153,879,2761,51433,19769,13793
2020-04-14,14504,1226,5247,15169,922,4200,3217,447,1492,20977,20291,5156
2020-04-15,32533,6625,12115,31396,2109,11076,11606,1164,6267,51273,44581,19037
2020-04-16,15602,1507,6127,12786,1757,3563,6175,698,2932,23236,18106,9805
2020-04-17,19579,1293,7698,7150,957,3990,6243,522,2492,28570,12097,9257
2020-04-18,10633,1494,3371,5068,695,1412,5137,833,1542,15498,7175,7512
2020-04-19,10904,1169,3211,18212,1225,5254,5652,907,2057,15284,24691,8616
2020-04-20,9223,1325,2801,3193,412,1101,2576,324,1105,13349,4706,4005
2020-04-21,6182,1089,2907,9254,787,3861,5935,541,2684,10178,13902,9160
2020-04-22,10203,1225,3948,67063,2950,21069,7448,1067,1935,15376,91082,10450
2020-04-23,16895,1124,6650,7839,709,4563,3923,456,1782,24669,13111,6161
2020-04-24,12211,1522,3924,6340,622,2100,3003,360,1267,17657,9062,4630
2020-04-25,12912,913,5008,3268,411,1336,8448,566,2652,18833,5015,11666
2020-04-26,5907,1184,1917,8395,611,3307,11115,1148,3307,9008,12313,15570
2020-04-27,12909,2065,3716,6173,659,1795,9435,926,2760,18690,8627,13121
2020-04-28,13019,1357,4490,15432,1441,5095,3460,486,1039,18866,21968,4985
2020-04-29,14670,1631,5561,19737,4417,5993,17606,2477,4232,21862,30147,24315
2020-04-30,5336,820,2228,8716,1273,2941,7958,978,2226,8384,12930,11162
2020-05-01,8355,892,3221,20753,4367,6346,7123,707,2580,12468,31466,10410
2020-05-02,11188,1388,3382,7955,768,2479,14443,1751,3104,15958,11202,19298
2020-05-03,10270,1090,3719,7130,834,2668,3163,1823,2587,15079,10632,7573
2020-05-04,10109,3032,2800,7608,611,2271,5023,980,2257,15941,10490,8260
2020-05-05,8418,1942,3998,5258,592,2004,6030,1126,1994,14358,7854,9150
2020-05-06,12093,1762,3125,9100,964,2543,4548,599,1603,16980,12607,6750
2020-05-07,13605,1982,4723,4264,651,1316,7674,790,2561,20310,6231,11025
2020-05-08,22917,1302,4455,4967,615,1668,4016,481,1562,28674,7250,6059
2020-05-09,6906,1066,1910,5108,574,1663,4778,420,1713,9882,7345,6911
2020-05-10,54008,5335,11157,18049,2504,4886,10388,1551,2737,70500,25439,14676
2020-05-11,36215,4352,7086,13719,1239,4931,20988,3113,6204,47653,19889,30305
2020-05-12,16653,1411,5915,10720,1102,3248,2883,511,1015,23979,15070,4409
2020-05-13,11556,1272,3397,33659,1193,10269,12402,983,3797,16225,45121,17182
2020-05-14,8553,1097,2722,5217,672,2041,6542,601,2917,12372,7930,10060
2020-05-15,16343,1739,6021,7247,1254,3365,3710,660,2007,24103,11866,6377
2020-05-16,14826,1844,7534,9245,715,3514,6609,3828,2164,24204,13474,12601
2020-05-17,14510,1482,4723,13868,2030,5799,7366,1470,2246,20715,21697,11082
2020-05-18,21750,1856,7142,8726,923,3492,4737,516,1673,30748,13141,6926
2020-05-19,14666,1608,4459,9381,940,3391,10564,2931,3459,20733,13712,16954
2020-05-20,23777,2171,7383,10389,892,3030,5054,736,2776,33331,14311,8566
