Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-03-21,2050,188,212,802,84,167,136,25,7,2450,1053,168
2020-03-22,7280,138,753,386,117,69,115,30,13,8171,572,158
2020-03-23,599,74,115,509,40,71,270,36,55,788,620,361
2020-03-24,1138,155,464,491,57,83,324,52,53,1757,631,429
2020-03-25,2151,184,257,735,119,455,251,51,43,2592,1309,345
2020-03-26,2194,234,640,640,59,220,748,58,144,3068,919,950
2020-03-27,867,114,110,5002,259,2289,213,94,127,1091,7550,434
2020-03-28,2044,209,699,463,70,68,210,40,19,2952,601,269
2020-03-29,892,99,147,718,153,233,303,31,89,1138,1104,423
2020-03-30,3875,787,904,276,62,23,733,74,104,5566,361,911
2020-03-31,1957,186,376,1557,134,376,1234,95,450,2519,2067,1779
2020-04-01,1076,104,224,725,104,89,490,28,148,1404,918,666
2020-04-02,1785,251,778,454,87,84,901,79,1044,2814,625,2024
2020-04-03,1803,265,222,264,46,77,281,57,50,2290,387,388
2020-04-04,3065,690,321,1613,381,180,1763,287,81,4076,2174,2131
2020-04-05,1358,294,157,815,130,91,283,81,31,1809,1036,395
2020-04-06,1364,262,192,654,143,159,383,89,38,1818,956,510
2020-04-07,1249,199,218,473,87,56,504,83,29,1666,616,616
2020-04-08,1843,96,180,10006,911,2465,538,55,140,2119,13382,733
2020-04-09,726,111,169,824,75,580,746,60,225,1006,1479,1031
2020-04-10,1838,135,286,397,49,70,100,19,33,2259,516,152
2020-04-11,1057,92,164,318,92,51,193,37,41,1313,461,271
2020-04-12,1229,190,167,468,99,52,3817,453,1773,1586,619,6043
2020-04-13,2718,247,471,805,147,114,429,133,127,3436,1066,689
2020-04-14,1750,186,335,391,94,59,516,72,127,2271,544,715
2020-04-15,1021,117,190,671,142,167,176,24,62,1328,980,262
2020-04-16,1403,210,286,995,129,283,217,112,38,1899,1407,367
2020-04-17,1385,152,287,481,80,94,657,52,155,1824,655,864
2020-04-18,4433,348,1059,401,95,52,482,72,80,5840,548,634
2020-04-19,1028,142,213,483,101,52,197,31,33,1383,636,261
2020-04-20,2962,184,855,833,72,244,236,40,26,4001,1149,302
