Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2016-05-31,466,84,375,236,64,130,940,230,827,925,430,1997
2016-06-01,553,111,402,325,88,239,1875,191,1427,1066,652,3493
2016-06-02,4702,194,2840,728,115,543,1118,149,1039,7736,1386,2306
2016-06-03,1017,107,636,386,80,207,974,161,844,1760,673,1979
2016-06-04,381,73,269,349,50,345,1032,229,756,723,744,2017
2016-06-05,17453,6847,19574,372,40,407,1264,148,1966,43874,819,3378
2016-06-06,1003,127,805,395,72,359,1176,168,1159,1935,826,2503
2016-06-07,459,94,461,292,66,205,1165,116,1027,1014,563,2308
2016-06-08,5927,203,1114,16684,545,6217,2654,240,1921,7244,23446,4815
2016-06-09,430,77,332,455,76,375,1527,146,948,839,906,2621
2016-06-10,677,106,605,353,61,246,1219,147,1226,1388,660,2592
2016-06-11,3298,111,1727,213,39,144,601,106,504,5136,396,1211
2016-06-12,501,77,378,249,42,118,989,120,873,956,409,1982
2016-06-13,442,75,491,180,44,165,681,116,655,1008,389,1452
2016-06-14,370,68,294,468,76,543,756,213,818,732,1087,1787
2016-06-15,419,76,261,342,42,276,936,145,862,756,660,1943
2016-06-16,692,122,623,704,56,358,1131,153,978,1437,1118,2262
2016-06-17,1258,120,780,632,57,390,988,178,859,2158,1079,2025
2016-06-18,585,89,313,135,37,126,605,92,577,987,298,1274
2016-06-19,636,98,438,440,88,208,504,127,427,1172,736,1058
2016-06-20,535,105,368,282,51,222,1586,199,1202,1008,555,2987
2016-06-21,1774,115,1693,531,34,296,1756,235,1290,3582,861,3281
2016-06-22,1019,140,644,317,46,163,1058,172,898,1803,526,2128
2016-06-23,1270,201,641,595,92,407,31952,1151,15875,2112,1094,48978
2016-06-24,1614,163,1113,411,98,218,1226,185,652,2890,727,2063
2016-06-25,259,72,196,171,32,150,825,118,706,527,353,1649
2016-06-26,449,71,285,261,27,128,455,93,405,805,416,953
2016-06-27,436,112,299,815,60,447,711,182,815,847,1322,1708
2016-06-28,597,88,516,202,55,221,1193,187,1402,1201,478,2782
