Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-04-09,863,246,1296,461,104,594,1122,305,1697,2446,655,3587
2016-04-10,599,246,667,257,96,367,1270,299,2972,2126,641,4006
2016-04-11,1032,307,1290,477,141,636,3892,679,5667,5401,1127,7593
2016-04-12,2096,502,2377,601,173,883,2335,528,3436,5032,1203,6696
2016-04-13,993,282,1351,694,203,983,2169,470,3246,3856,955,5580
2016-04-14,1525,426,1560,636,161,1237,2004,741,2880,4165,1328,5677
2016-04-15,847,266,1347,481,147,726,1289,451,1939,2617,864,4012
2016-04-16,1079,304,2284,313,138,515,1621,610,2181,3013,1052,4980
2016-04-17,1014,533,1600,843,324,1342,1425,839,2118,3282,1696,5060
2016-04-18,1695,462,1966,706,285,1058,2709,874,3616,5110,1621,6640
2016-04-19,1420,602,1884,673,228,795,1418,442,2122,3511,1272,4801
2016-04-20,1360,463,1810,635,267,1008,2176,667,3902,4171,1397,6720
2016-04-21,1589,268,2007,1688,380,2693,3721,823,5022,6998,1471,9722
2016-04-22,2096,612,2417,1764,387,2242,4210,1453,4986,8070,2452,9645
2016-04-23,1111,347,1452,555,169,655,1191,441,1872,2857,957,3979
2016-04-24,818,293,1019,451,133,546,2338,715,3003,3607,1141,4568
2016-04-25,2309,518,2885,1677,259,3417,2813,713,3744,6799,1490,10046
2016-04-26,1733,308,2096,1333,267,1754,2015,431,3243,5081,1006,7093
2016-04-27,1010,315,1573,1221,266,1387,2530,560,3969,4761,1141,6929
2016-04-28,2424,500,2578,1090,236,1371,2154,508,3397,5668,1244,7346
2016-04-29,1165,276,1433,1967,368,1761,2409,615,3739,5541,1259,6933
2016-04-30,667,231,979,542,152,784,1572,423,2410,2781,806,4173
2016-05-01,670,167,1053,1308,264,2209,1055,315,3431,3033,746,6693
2016-05-02,424,128,517,460,126,1213,981,266,1944,1865,520,3674
2016-05-03,566,140,870,669,149,1114,1098,289,1912,2333,578,3896
2016-05-04,1006,243,1136,1033,190,1941,2222,391,3975,4261,824,7052
2016-05-05,1560,290,1467,865,153,1041,2294,429,2628,4719,872,5136
2016-05-06,2809,647,2632,2445,404,1994,4062,786,5297,9316,1837,9923
2016-05-07,1411,272,1174,376,105,514,1976,345,2695,3763,722,4383
2016-05-08,841,234,1126,485,257,701,1623,356,2737,2949,847,4564
2016-05-09,1093,244,1636,410,224,643,1494,309,1850,2997,777,4129
2016-05-10,998,341,1393,1356,315,1555,3520,582,4057,5874,1238,7005
2016-05-11,1206,268,1849,934,253,1798,2204,579,7037,4344,1100,10684
2016-05-12,1301,429,1641,856,208,1068,2527,708,4025,4684,1345,6734
2016-05-13,1661,473,2095,1043,266,814,2263,626,3403,4967,1365,6312
2016-05-14,1000,315,1138,596,221,1451,1945,510,2703,3541,1046,5292
2016-05-15,648,319,895,578,207,930,1443,535,2177,2669,1061,4002
2016-05-16,1385,345,1871,630,225,1820,5095,803,4383,7110,1373,8074
2016-05-17,1588,467,1854,495,163,1297,2360,516,3721,4443,1146,6872
2016-05-18,1864,363,2270,1183,223,2234,4844,673,4777,7891,1259,9281
2016-05-19,1238,389,1558,777,185,1041,2917,562,3507,4932,1136,6106
2016-05-20,954,300,1114,588,198,1706,1779,565,2332,3321,1063,5152
2016-05-21,875,201,1161,472,185,1109,1300,364,2456,2647,750,4726
2016-05-22,2124,435,2861,818,294,1429,2000,639,3573,4942,1368,7863
2016-05-23,2484,410,2260,795,279,1286,2799,778,3254,6078,1467,6800
2016-05-24,1179,270,1831,948,183,2635,2496,690,4281,4623,1143,8747
2016-05-25,1528,336,1494,805,228,1206,2324,629,3354,4657,1193,6054
2016-05-26,1637,549,2013,594,176,1126,4495,1355,5580,6726,2080,8719
2016-05-27,901,306,1166,618,218,1143,1781,627,2438,3300,1151,4747
2016-05-28,786,288,962,1002,346,1496,1538,431,2744,3326,1065,5202
2016-05-29,773,250,1540,1007,275,1608,1340,459,4330,3120,984,7478
2016-05-30,1396,370,1897,900,208,1093,2248,465,3161,4544,1043,6151
2016-05-31,1217,370,1667,751,200,1175,19416,961,19678,21384,1531,22520
2016-06-01,487,152,457,456,171,1001,1128,267,2512,2071,590,3970
2016-06-02,611,175,654,371,165,424,1334,315,1662,2316,655,2740
2016-06-03,288,105,425,426,156,661,698,253,1705,1412,514,2791
2016-06-04,327,114,374,187,87,400,537,204,878,1051,405,1652
2016-06-05,931,185,945,265,105,573,1248,240,1689,2444,530,3207
2016-06-06,1453,253,1895,555,144,683,1090,295,2170,3098,692,4748
2016-06-07,1147,315,1145,576,173,728,1026,390,1490,2749,878,3363
2016-06-08,529,176,473,396,113,394,2536,649,5945,3461,938,6812
2016-06-09,2246,454,1848,582,172,612,2759,441,2771,5587,1067,5231
2016-06-10,1008,297,1210,545,185,646,1578,373,2434,3131,855,4290
2016-06-11,560,179,594,364,135,564,610,260,1006,1534,574,2164
2016-06-12,802,298,680,1019,300,1422,1244,374,1807,3065,972,3909
2016-06-13,1590,285,1442,544,185,748,1528,275,1820,3662,745,4010
2016-06-14,1423,423,1966,1556,300,2014,1971,583,2293,4950,1306,6273
2016-06-15,1390,376,1288,950,225,848,2087,507,2058,4427,1108,4194
2016-06-16,2614,329,2169,1858,274,1773,5429,804,4357,9901,1407,8299
2016-06-17,1515,379,1521,724,193,796,1499,326,1560,3738,898,3877
2016-06-18,750,374,774,835,270,823,1167,456,1524,2752,1100,3121
2016-06-19,654,307,743,605,190,613,1019,328,1341,2278,825,2697
2016-06-20,972,277,936,455,134,404,1436,366,2193,2863,777,3533
2016-06-21,1478,426,1277,954,306,1010,3445,842,3324,5877,1574,5611
2016-06-22,1242,403,946,957,252,727,1913,586,3042,4112,1241,4715
2016-06-23,2904,519,2966,1395,271,836,3243,575,2032,7542,1365,5834
2016-06-24,33557,4806,26318,20388,2362,16424,33666,5046,48337,87611,12214,91079
2016-06-25,5564,1451,4953,3003,741,2591,7343,2095,7709,15910,4287,15253
2016-06-26,20086,4978,17378,5194,1190,3834,13566,2513,13531,38846,8681,34743
2016-06-27,7975,1622,6016,6801,915,8360,17503,1845,17056,32279,4382,31432
2016-06-28,7379,1659,7130,4779,1131,4996,16902,2824,17555,29060,5614,29681
2016-06-29,10585,2150,11034,5925,1230,6444,16363,3589,17796,32873,6969,35274
2016-06-30,15189,2472,12023,7590,1286,6471,21888,3957,22925,44667,7715,41419
2016-07-01,3324,722,3231,1621,323,1077,3738,626,3560,8683,1671,7868
2016-07-02,2126,425,1609,1803,345,2054,2643,469,3001,6572,1239,6664
2016-07-03,1474,502,1455,942,206,917,2134,748,2379,4550,1456,4751
2016-07-04,4374,788,3564,2489,425,2700,3795,941,3801,10658,2154,10065
2016-07-05,2221,517,2097,3280,470,2576,5873,870,7029,11374,1857,11702
2016-07-06,5924,943,7477,2549,411,3232,6917,578,4866,15390,1932,15575
2016-07-07,3551,807,2788,955,222,984,6128,1266,6450,10634,2295,10222
2016-07-08,1210,267,1232,801,184,634,1925,473,2336,3936,924,4202
2016-07-09,1497,327,1450,563,164,451,2080,511,2442,4140,1002,4343
2016-07-10,1675,336,1458,499,177,656,1856,390,1939,4030,903,4053
2016-07-11,8470,1644,8464,4212,596,3443,8577,1413,9214,21259,3653,21121
2016-07-12,4597,840,4361,2969,557,3271,8534,1181,8125,16100,2578,15757
2016-07-13,13530,1635,12951,5209,818,6588,11245,1507,8724,29984,3960,28263
2016-07-14,9039,839,8282,2452,388,2724,2480,538,2623,13971,1765,13629
2016-07-15,5040,556,3510,1023,214,1037,1969,421,2316,8032,1191,6863
2016-07-16,1709,287,1586,2892,851,2447,2209,361,1941,6810,1499,5974
2016-07-17,1354,310,1764,834,180,844,2541,840,2998,4729,1330,5606
2016-07-18,2949,599,3830,811,190,853,2529,570,2966,6289,1359,7649
2016-07-19,1737,349,1735,665,165,459,1945,575,2646,4347,1089,4840
2016-07-20,2653,498,2467,531,240,522,3267,562,3232,6451,1300,6221
2016-07-21,4928,775,3912,1165,280,1272,4214,834,5092,10307,1889,10276
2016-07-22,3060,645,3369,2264,826,3437,4228,865,5890,9552,2336,12696
2016-07-23,1292,330,1514,1352,298,1693,1721,465,2312,4365,1093,5519
2016-07-24,4689,849,4380,1609,352,1855,3399,1071,4694,9697,2272,10929
2016-07-25,2318,538,2452,1633,312,1684,3459,909,5060,7410,1759,9196
2016-07-26,2905,566,2774,2666,415,1813,3630,817,4139,9201,1798,8726
2016-07-27,5389,996,5168,1720,329,1703,5794,1179,10052,12903,2504,16923
2016-07-28,5274,674,3630,1296,268,1368,3091,730,3918,9661,1672,8916
2016-07-29,2040,533,1993,1090,274,1189,4085,961,4263,7215,1768,7445
2016-07-30,1278,375,991,443,137,486,3149,583,3911,4870,1095,5388
2016-07-31,1526,361,1388,384,113,467,1371,358,1535,3281,832,3390
2016-08-01,646,120,602,397,84,606,2374,468,2952,3417,672,4160
2016-08-02,1493,214,2573,722,113,415,1449,321,1914,3664,648,4902
2016-08-03,601,190,995,252,64,230,1114,278,1659,1967,532,2884
2016-08-04,909,188,763,410,117,485,1305,195,1679,2624,500,2927
2016-08-05,484,103,497,1268,185,1066,985,207,1348,2737,495,2911
2016-08-06,255,87,208,305,99,418,895,388,1647,1455,574,2273
2016-08-07,934,171,944,177,44,194,1100,212,1154,2211,427,2292
2016-08-08,881,228,819,950,123,581,1569,221,1730,3400,572,3130
2016-08-09,1085,314,1575,1019,146,1073,1982,399,2762,4086,859,5410
2016-08-10,2645,431,2486,724,213,911,1739,400,2452,5108,1044,5849
2016-08-11,1165,321,1163,463,116,448,1674,354,2092,3302,791,3703
2016-08-12,3044,324,2864,981,268,1034,2099,450,2809,6124,1042,6707
2016-08-13,1751,346,1667,490,170,532,4413,520,3340,6654,1036,5539
2016-08-14,1014,266,1109,491,167,441,1532,397,1723,3037,830,3273
2016-08-15,1444,362,1471,434,89,483,4241,602,4099,6119,1053,6053
2016-08-16,1006,322,1356,658,129,861,1642,400,2177,3306,851,4394
2016-08-17,1656,455,2042,813,201,866,2324,654,3088,4793,1310,5996
2016-08-18,1653,350,1484,1561,291,1314,2941,560,3198,6155,1201,5996
2016-08-19,1719,461,2369,573,187,541,1643,425,2124,3935,1073,5034
2016-08-20,793,198,660,359,126,475,960,307,1150,2112,631,2285
2016-08-21,1996,367,2082,665,143,813,1323,368,1377,3984,878,4272
2016-08-22,1836,343,3005,832,326,1398,1965,377,2561,4633,1046,6964
2016-08-23,1464,320,1555,871,199,905,2410,429,3047,4745,948,5507
2016-08-24,1897,412,1713,364,126,607,2213,550,2795,4474,1088,5115
2016-08-25,1734,417,1343,1405,353,1616,4126,848,4027,7265,1618,6986
2016-08-26,897,242,806,775,172,965,1599,349,2590,3271,763,4361
2016-08-27,2014,491,1978,1309,306,1736,1513,428,1660,4836,1225,5374
2016-08-28,1218,265,1264,628,215,676,1178,399,1363,3024,879,3303
2016-08-29,2899,780,3569,1253,415,1992,1997,583,2562,6149,1778,8123
