Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2020-04-16,1403,210,286,995,129,283,217,112,38,2615,451,607
2020-04-17,1385,152,287,481,80,94,657,52,155,2523,284,536
2020-04-18,4433,348,1059,401,95,52,482,72,80,5316,515,1191
2020-04-19,1028,142,213,483,101,52,197,31,33,1708,274,298
2020-04-20,2962,184,855,833,72,244,236,40,26,4031,296,1125
2020-04-21,957,127,320,648,94,296,366,82,98,1971,303,714
2020-04-22,3877,270,1236,1528,132,419,253,51,91,5658,453,1746
2020-04-23,5686,546,1818,5401,305,1105,606,74,229,11693,925,3152
2020-04-24,6059,393,2224,2196,184,559,755,93,204,9010,670,2987
2020-04-25,2646,309,549,2022,159,386,702,65,176,5370,533,1111
2020-04-26,5134,367,1557,855,178,94,580,94,200,6569,639,1851
2020-04-27,1119,206,211,1972,167,178,1021,126,519,4112,499,908
2020-04-28,2147,247,574,1213,175,232,600,164,46,3960,586,852
2020-04-29,4520,209,604,1957,224,404,958,129,319,7435,562,1327
2020-04-30,1961,248,546,1152,106,134,523,55,103,3636,409,783
2020-05-01,3812,1740,664,1737,210,334,793,165,100,6342,2115,1098
2020-05-02,1802,436,331,2061,267,473,443,92,85,4306,795,889
2020-05-03,1520,213,221,1659,134,307,297,32,108,3476,379,636
2020-05-04,10652,3259,1385,3389,270,342,2303,122,235,16344,3651,1962
2020-05-05,1873,259,484,1400,159,117,1078,87,193,4351,505,794
2020-05-06,4610,267,1476,890,104,230,438,42,112,5938,413,1818
2020-05-07,2834,256,1202,584,95,65,494,68,113,3912,419,1380
2020-05-08,4421,267,1600,6487,301,1140,487,41,54,11395,609,2794
2020-05-09,2944,184,697,1058,110,144,587,60,118,4589,354,959
2020-05-10,1008,117,270,344,60,68,283,37,38,1635,214,376
2020-05-11,1466,182,468,1170,63,151,207,36,84,2843,281,703
2020-05-12,5614,228,958,627,98,241,486,27,90,6727,353,1289
2020-05-13,1480,175,388,409,77,40,319,32,82,2208,284,510
2020-05-14,1396,194,308,897,134,218,3116,79,1075,5409,407,1601
2020-05-15,2174,209,736,570,74,80,743,64,171,3487,347,987
2020-05-16,3839,225,1123,8213,1622,1429,745,142,85,12797,1989,2637
2020-05-17,2910,392,600,1311,171,320,517,92,125,4738,655,1045
2020-05-18,2750,248,703,4546,185,1095,403,62,97,7699,495,1895
2020-05-19,4951,346,700,9398,500,970,676,64,57,15025,910,1727
2020-05-20,5938,289,1758,1703,149,298,619,48,160,8260,486,2216
2020-05-21,5303,941,1820,5342,283,2387,287,57,59,10932,1281,4266
2020-05-22,2466,236,535,1746,128,445,2010,149,648,6222,513,1628
2020-05-23,2368,248,494,446,105,39,416,57,66,3230,410,599
2020-05-24,1640,517,393,571,68,67,309,32,52,2520,617,512
2020-05-25,4626,178,1073,3608,167,513,730,72,123,8964,417,1709
2020-05-26,1980,189,383,757,78,115,713,50,214,3450,317,712
2020-05-27,3535,353,1209,408,92,58,661,92,161,4604,537,1428
2020-05-28,1836,588,400,1020,84,231,1478,85,494,4334,757,1125
2020-05-29,1927,178,525,649,81,182,1362,176,355,3938,435,1062
2020-05-30,6017,273,1037,1891,200,176,921,68,166,8829,541,1379
2020-05-31,1571,183,648,694,82,138,392,37,67,2657,302,853
2020-06-01,85903,720,33721,2171,160,669,1887,95,427,89961,975,34817
2020-06-02,3561,236,2566,16011,223,6979,521,68,173,20093,527,9718
2020-06-03,13223,366,3232,3730,187,2012,454,54,112,17407,607,5356
2020-06-04,7691,445,2471,6288,260,1550,1165,67,899,15144,772,4920
2020-06-05,2484,275,620,2461,164,623,593,66,204,5538,505,1447
2020-06-06,2038,261,485,1968,199,665,1748,102,181,5754,562,1331
