Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-09-01,591,98,340,1598,108,883,2172,312,1502,4361,518,2725
2016-09-02,477,61,376,193,51,109,1898,198,790,2568,310,1275
2016-09-03,5416,445,5925,1444,111,1141,3411,554,3190,10271,1110,10256
2016-09-04,1599,189,1318,338,56,291,4331,414,2953,6268,659,4562
2016-09-05,1506,185,1516,452,66,388,1218,157,1028,3176,408,2932
2016-09-06,1423,144,1511,1350,89,1227,1649,226,1445,4422,459,4183
2016-09-07,740,95,320,565,55,536,1022,208,907,2327,358,1763
2016-09-08,367,76,167,471,83,391,893,161,571,1731,320,1129
2016-09-09,374,69,248,444,75,370,897,161,894,1715,305,1512
2016-09-10,350,75,276,316,49,182,713,156,536,1379,280,994
2016-09-11,1611,200,1377,334,49,219,1767,171,1123,3712,420,2719
2016-09-12,1482,148,1073,401,60,345,1127,160,1102,3010,368,2520
2016-09-13,2432,173,1412,786,97,512,1504,273,975,4722,543,2899
2016-09-14,908,198,634,409,108,514,993,208,762,2310,514,1910
2016-09-15,1234,168,824,351,55,412,2809,259,2183,4394,482,3419
2016-09-16,604,92,463,492,117,230,1140,182,713,2236,391,1406
2016-09-17,356,55,187,1171,92,823,836,129,659,2363,276,1669
2016-09-18,1600,133,632,518,79,471,853,207,855,2971,419,1958
2016-09-19,985,90,511,587,100,412,845,155,598,2417,345,1521
2016-09-20,1126,85,937,619,159,451,1404,290,1351,3149,534,2739
2016-09-21,1084,117,1097,546,164,496,1480,181,1243,3110,462,2836
2016-09-22,1479,218,848,611,129,515,1068,218,802,3158,565,2165
2016-09-23,535,102,455,367,74,299,1149,242,728,2051,418,1482
2016-09-24,346,84,371,437,80,358,522,110,367,1305,274,1096
2016-09-25,493,94,307,425,102,272,686,163,501,1604,359,1080
2016-09-26,1158,160,743,487,83,348,2094,236,1329,3739,479,2420
2016-09-27,8832,1153,5085,5881,503,3894,62986,2075,50699,77699,3731,59678
2016-09-28,936,194,512,1106,205,1138,2146,319,1479,4188,718,3129
2016-09-29,913,184,644,991,194,725,1575,277,1157,3479,655,2526
2016-09-30,799,109,651,578,83,517,2017,206,1720,3394,398,2888
2016-10-01,21,4,11,19,8,19,27,0,9,67,12,39
