Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-07-30,37398,3045,17427,20509,1946,9979,1917,326,833,57870,32434,3076
2020-07-31,5059,591,1900,16005,1002,5739,618,180,227,7550,22746,1025
2020-08-01,1880,336,381,6559,871,3079,476,61,267,2597,10509,804
2020-08-02,1139,331,330,2002,271,931,598,87,309,1800,3204,994
2020-08-03,1019,156,340,18310,719,7181,419,77,155,1515,26210,651
2020-08-04,5476,706,2468,11392,1277,6046,949,176,471,8650,18715,1596
2020-08-05,1463,237,571,36519,1973,13765,2677,706,781,2271,52257,4164
2020-08-06,2347,428,627,32806,2051,11234,2581,511,724,3402,46091,3816
2020-08-07,16180,1953,5051,57013,14596,16879,6498,845,3211,23184,88488,10554
2020-08-08,42776,4138,11488,38857,3477,12046,22772,3583,7414,58402,54380,33769
2020-08-09,27860,2982,6477,32311,3313,9497,54286,1999,14064,37319,45121,70349
2020-08-10,13660,2300,4167,30552,4037,9803,10622,1087,3654,20127,44392,15363
2020-08-11,105367,10189,21502,64336,4852,17479,23227,10133,6070,137058,86667,39430
2020-08-12,14163,2177,4296,48717,3003,15359,44514,1747,5976,20636,67079,52237
2020-08-13,9155,2425,2810,16162,2254,4985,1517,404,642,14390,23401,2563
2020-08-14,23292,1405,8870,8378,991,4070,9397,539,2356,33567,13439,12292
2020-08-15,5066,780,2625,9521,1411,3982,1342,274,478,8471,14914,2094
2020-08-16,4834,714,2054,13042,1381,6181,8468,861,1802,7602,20604,11131
2020-08-17,2692,432,665,10243,1301,4932,1137,199,313,3789,16476,1649
2020-08-18,10209,833,3609,8160,1180,2689,2369,239,754,14651,12029,3362
2020-08-19,15654,5665,4555,15800,2479,4983,9969,2050,3108,25874,23262,15127
2020-08-20,22543,1551,5495,14434,1274,6039,2643,408,765,29589,21747,3816
2020-08-21,6537,1192,1690,10440,1717,4919,1671,362,469,9419,17076,2502
2020-08-22,3455,580,1118,9330,1039,3882,2337,281,830,5153,14251,3448
2020-08-23,1367,303,516,2699,661,1362,1959,168,422,2186,4722,2549
2020-08-24,1505,307,678,2524,375,802,931,139,481,2490,3701,1551
2020-08-25,7438,615,4390,19441,825,7101,1455,148,713,12443,27367,2316
2020-08-26,3826,485,1240,79416,2759,5884,659,88,205,5551,88059,952
2020-08-27,5632,715,2295,8833,965,3923,2552,170,909,8642,13721,3631
2020-08-28,6105,636,2771,10220,1453,5547,1483,256,666,9512,17220,2405
2020-08-29,2421,376,967,5753,944,3469,1695,199,547,3764,10166,2441
2020-08-30,1467,251,536,1439,283,556,12116,224,2840,2254,2278,15180
2020-08-31,4453,443,1386,2479,366,1202,1622,131,385,6282,4047,2138
2020-09-01,1548,249,441,2433,396,1064,487,152,169,2238,3893,808
2020-09-02,8968,1012,2873,13057,7880,5187,4139,373,1492,12853,26124,6004
2020-09-03,83781,7076,18430,15586,1571,3992,5692,862,1352,109287,21149,7906
2020-09-04,6479,779,1572,9785,713,2681,1589,286,575,8830,13179,2450
2020-09-05,6314,823,2373,5377,623,1555,6951,250,1957,9510,7555,9158
2020-09-06,9489,964,2718,4847,803,1755,1568,218,729,13171,7405,2515
2020-09-07,2355,403,883,2193,424,1221,1878,230,787,3641,3838,2895
2020-09-08,3187,546,2091,5364,789,4344,3657,187,2187,5824,10497,6031
2020-09-09,3786,1004,929,4773,654,1866,769,122,225,5719,7293,1116
2020-09-10,2495,344,722,1210,369,667,4336,272,1444,3561,2246,6052
2020-09-11,2000,513,390,5465,540,2946,1077,160,429,2903,8951,1666
2020-09-12,3308,656,1656,2487,985,1330,1512,397,568,5620,4802,2477
2020-09-13,2468,433,583,7615,517,2423,1637,174,506,3484,10555,2317
2020-09-14,6385,490,2129,2930,294,936,678,87,249,9004,4160,1014
2020-09-15,2589,257,1016,6846,937,3792,774,132,333,3862,11575,1239
2020-09-16,3180,431,1477,4580,767,2602,1180,157,659,5088,7949,1996
2020-09-17,2770,362,923,9794,748,3158,828,155,300,4055,13700,1283
2020-09-18,1656,286,527,3136,428,1212,363,99,114,2469,4776,576
2020-09-19,1288,449,478,2817,234,967,691,102,164,2215,4018,957
2020-09-20,2312,247,998,2272,291,1096,493,88,131,3557,3659,712
2020-09-21,1235,153,441,1479,279,679,1709,141,1114,1829,2437,2964
2020-09-22,3408,270,1734,4661,549,2327,1790,182,1045,5412,7537,3017
2020-09-23,22696,743,4932,3925,488,1722,6582,335,2011,28371,6135,8928
2020-09-24,4340,267,1370,8761,552,3604,3192,195,1124,5977,12917,4511
2020-09-25,873,146,282,1027,189,372,290,46,98,1301,1588,434
2020-09-26,1587,226,578,5479,434,2586,1953,93,666,2391,8499,2712
2020-09-27,1290,242,395,1164,149,310,562,91,128,1927,1623,781
